TimeStamp,FirstDose,SecondDose,TotalDoses,Pfizer,Moderna,AstraZeneca
2021/02/06 00:00:00+00,152652,84344,236996,235103,1893,0
2021/02/07 00:00:00+00,153654,86833,240487,238594,1893,0
2021/02/08 00:00:00+00,154900,88453,243353,241460,1893,0
2021/02/09 00:00:00+00,158904,89380,248284,245915,1893,476
2021/02/10 00:00:00+00,166863,89818,256681,250185,1893,4603
2021/02/11 00:00:00+00,171239,89834,261073,251515,1914,7644
2021/02/12 00:00:00+00,175238,89999,265237,253002,1914,10321
2021/02/13 00:00:00+00,176926,91625,268551,253711,3391,11449
2021/02/14 00:00:00+00,180192,91750,271942,254365,3392,14185
2021/02/15 00:00:00+00,182193,98388,280581,261968,3415,15198
2021/02/16 00:00:00+00,187893,105859,293752,271205,3907,18640
2021/02/17 00:00:00+00,197609,113291,310900,282854,3963,24083
2021/02/18 00:00:00+00,205955,120520,326475,294393,3963,28119
2021/02/19 00:00:00+00,214384,126320,340704,304575,4777,31352
2021/02/20 00:00:00+00,219899,130423,350322,311741,4947,33634
2021/02/21 00:00:00+00,222073,131898,353971,314638,4998,34335
2021/02/22 00:00:00+00,226291,133325,359616,318147,5239,36320
2021/02/23 00:00:00+00,238841,134439,373280,325502,5782,41996
2021/02/24 00:00:00+00,254948,136407,391355,335874,6476,49005
2021/02/25 00:00:00+00,271594,137935,409529,346123,7084,56322
2021/02/26 00:00:00+00,285780,140290,426070,356169,7740,62161
2021/02/27 00:00:00+00,293638,141345,434983,361443,8133,65407
2021/02/28 00:00:00+00,297899,141883,439782,363923,8630,67229
2021/03/01 00:00:00+00,303550,142924,446474,367304,9368,69802
2021/03/02 00:00:00+00,316056,144581,460637,376295,10665,73677
2021/03/03 00:00:00+00,328598,146047,474645,386490,11589,76566
2021/03/04 00:00:00+00,346256,147617,493873,397409,12863,83601
2021/03/05 00:00:00+00,363601,149721,513322,408766,13958,90598
2021/03/06 00:00:00+00,373149,149920,523069,413613,15123,94333
2021/03/07 00:00:00+00,375521,150247,525768,414593,15174,96001
